Date,Brazil,Chile,China,Colombia,Czech Republic,Greece,Hungary,India,Indonesia,Kuwait,Malaysia,Mexico,Peru,Philippines,Poland,Qatar,Saudi Arabia,South Africa,South Korea,Thailand,Turkey,UAE,United States
1978-11-01,11193780318.88483,1108599101.775775,,2363165833.412434,,1415449665.280362,,6596061848.266791,2742754910.799269,2735871797.002767,3167328261.130006,2103729615.996813,371496305.988974,1794872160.955926,,,19761299222.10034,2397337552.096444,2477414715.461713,2068446412.536354,1140760547.018133,749681033.8216902,17967470655.19139
1978-12-01,11894399177.18075,1148791008.203563,2141000000.0,2503441387.399934,,1476939123.797555,,6694350817.353698,2662960216.845469,2616679881.393421,3329492750.700862,2245923310.470081,432094411.6781767,1881040569.083406,,218590182.1558537,19406703789.97966,2354125789.445162,2793613976.430358,2556628312.403435,956142657.0812162,887149177.4078,18650304987.89091
1979-01-01,11336935536.36729,1508085866.824457,,2550863937.480383,,1384654999.700523,,6952854237.715308,3033229881.894225,2597473161.354441,3405558946.571458,2392884604.041974,328299864.0145638,1864887203.605485,,,19236573544.29118,2535696228.116067,2775837348.232068,2783217109.14354,974021303.1582296,784818987.1061918,20468771133.97876
1979-02-01,11320434962.63818,1557860087.756556,,2613782132.486505,,1390380959.457379,,7065909203.41814,2976113805.208582,2608975156.629564,3434981469.502777,2443797747.293484,367173835.5399074,1858766791.332689,,,18781281897.43848,2907978917.795231,2712401147.418204,2797181513.54413,906984821.4468257,880329224.2651594,20291452886.15632
1979-03-01,11135494306.49135,1647928070.765565,2441000000.0,2629474077.247074,,1471702330.652805,,7248947520.613609,2982649229.988085,2505117422.482085,3563527154.733324,2476297287.097146,446650094.0009535,1945700081.11683,,,19650192742.85274,2855980671.910995,2760943917.921715,2723079576.96604,936984564.1493593,909801306.4038835,21657919347.05243
1979-04-01,11410537379.44427,1813088612.09839,,2779530913.74568,,1511837310.279048,,7447556175.142949,3199302255.391216,2677728906.164743,3658450447.891049,2525438730.042265,421939123.2435062,2006853437.566948,,,17534307165.17422,2840203106.606327,2695592745.761948,2733361824.592565,930957555.7529286,941830854.2591697,21402958947.86947
1979-05-01,10859927545.17991,1911196587.958807,,2861827731.252082,,1509636396.472656,,7480845646.043217,3300361169.433875,2614802644.736606,3726031490.544897,2431433917.284827,434035694.8189208,2126682997.73584,,,16985965253.66538,3126452193.285304,2724140394.957098,2814622229.056584,1335172933.978264,939516647.8872654,22298919821.61094
1979-06-01,10105854804.85044,1861539750.145686,2466000000.0,3342569318.791244,,1463473864.408985,,7602849872.306077,3245011763.479015,2730846891.833505,3850872319.907807,2457402519.165653,584891108.3521559,2132653936.563191,,,18305301412.03302,3008756862.931386,2543693813.172714,2858541456.933847,1386178697.162448,948516078.281686,21267654044.81842
1979-07-01,10158460185.65469,1862607657.496011,,3431857542.530344,,1545264567.032848,,7617014007.443111,3496099508.31262,2868192696.347368,3883154740.499223,2501918654.516624,661535564.8630962,2213594007.290123,,,18435532683.68347,3030333698.640491,2617593580.761829,2853932087.516331,1478401751.525656,982600467.9089328,20044300721.63824
1979-08-01,9837175346.93866,1955166627.76057,,3514829790.231883,,1492441927.106083,,7781667402.712391,3404761911.515098,2834949648.193843,3937025988.784738,2532380483.136462,849481800.9685651,2205838957.176827,,,17372706608.03862,3221131255.445415,2664776308.500587,2841128015.150027,1363947038.492755,1054404344.193166,20045582151.96227
1979-09-01,9327884276.07612,2170783418.873962,2280000000.0,3511919683.456877,,1503791946.633907,,7927887014.576606,3353422652.812707,2764399217.054026,4060655710.561264,2603697983.405297,997109143.0159376,2145064846.438869,,,17927002401.44028,4123669196.713472,2824478920.043063,3076813881.233695,1186105419.900781,1054117991.785523,18557297355.28523
1979-10-01,9804525555.24979,2202322918.780743,,3643430729.900907,,1537229773.716767,,7628574817.741097,3848311631.312976,2745589380.83146,4057390623.396424,2682569780.225017,1039290172.013208,2252185792.403968,,,16756351294.45426,4261889284.683462,3102490421.153057,2748556091.353978,1050103182.268214,1124177737.877652,18016010612.53231
1979-11-01,8945419359.866081,2240323675.712523,,3821725964.932277,,1566842457.442951,,7689947267.138458,4043902339.130488,2828963332.073637,4185794387.445307,2684517941.557474,1279115837.792052,2261459777.676206,,,18710652945.80966,4205940121.625566,2981598103.401044,2867489208.69652,955196206.6712835,1174685372.863201,19284814916.97425
1979-12-01,9041257354.829021,2377841156.193228,2744000000.0,4058764039.719888,,1518414556.04052,,7716668723.344318,4167100824.738472,2986120711.872835,4013156313.446698,3026701711.305802,1627094549.715334,2415697356.158788,832400000.0,300413040.7977786,19483853884.46156,4885294112.693264,2989763421.703921,3128833502.455288,813197599.8211031,1509080413.710677,18956025732.73574
1980-01-01,8821803095.564127,2675440566.958726,,4180135652.84283,,1600780337.079643,,7917880002.119928,4817564058.967652,2619533408.366447,4111039432.333988,3078103192.380186,1338041589.87061,2449392274.071277,,,18798040841.90368,6814228313.892911,2826284020.461671,3249549728.396971,745131534.2830303,1239009190.187093,20989324125.52442
1980-02-01,8834040157.428476,2744722685.929365,,4265096480.088783,,1780098017.160797,,7691830687.095021,4742565757.949359,2756459264.763699,4105053941.622136,3058682798.34328,1544523710.809347,2476717079.596763,,,19383152095.91096,7224227898.482613,2768665971.405823,3157921773.233275,979846153.8642062,1222755862.70752,20886581492.98903
1980-03-01,7950243066.825412,2959032721.210441,2833000000.0,4305297582.996719,,1730664692.199023,,7478157379.49355,4465684373.974846,2773952702.031788,3823626713.684949,3077853912.729445,1715356112.485446,2521513487.864113,,330869059.9177217,18327138155.47318,5868222494.551506,2727200405.435039,2989101246.267831,1124287623.258705,1162887404.404224,21491057911.14441
1980-04-01,7531889727.147137,3251773956.238589,,4423221790.952576,,1724995030.815265,,7250309806.651049,5223946473.169593,2681130435.605374,4626279345.012848,3153273006.759338,1878455540.544564,2739421311.628693,,,19950587548.75656,5996471623.291163,2543586288.650724,3015466368.962862,1103902634.857128,1507405592.039131,21644907820.01932
1980-05-01,6674205228.013199,3419519119.435363,,4409603425.540407,,1802627949.762019,,7435038548.695841,5486798320.173477,2727536824.772549,4253689533.217386,3232782753.30082,2092554792.171391,2658014398.514273,,,22646237176.16364,6153172018.237663,2582110860.548547,3418353694.12567,1013040205.647985,1443261317.351368,21917557875.7659
1980-06-01,6574741372.053771,3527330022.492391,4354038963.664348,4429373581.596903,,1773818595.019001,,7365141353.404923,6014174348.141563,3368886977.703429,4337540557.413038,3321869372.699817,2086477586.541308,2698203517.580097,,362154542.7827722,19866335570.3351,7247658086.00619,2551765174.133213,3489013654.451923,955372720.4780653,1598734108.402467,21942977902.93215
1980-07-01,7220261244.79226,3521682655.582633,3972288376.136563,4760975334.891072,,1672341164.97703,,7051823623.331091,6685675859.842529,3278544583.788487,4357953441.581876,3376681401.144432,2120672518.858394,2902407242.2178,,,19924775944.59488,7840761683.537492,3170411335.645252,3464386775.211738,1009157176.648068,2077308911.988615,21844600636.64602
1980-08-01,6968745983.474789,3640230100.479462,4004020150.589934,4785717831.691484,,1565503636.136885,,8000382891.336164,6605202337.335636,3130492436.470846,4586984870.538535,3476926325.208821,2182006945.319147,2605207394.557613,,,22734823140.09624,7847904670.39946,3358838270.963367,3305423167.558988,1341159162.991963,2090320092.916566,22691425936.91017
1980-09-01,6487065436.614913,3820832850.487615,4758400898.090928,5040786781.451016,,1565772167.825408,,7919363740.004063,6580089450.822182,3421120031.616652,4681487181.38996,3527943439.898996,2180372822.829433,2716096779.312146,,405567656.2414902,24106172149.15858,8717734115.270542,3744499422.560831,3353285823.113744,1345249179.76645,2308243847.797893,22994402033.85098
1980-10-01,6798963910.823127,3908611943.306129,3721427493.693548,5137370009.487428,,1485430304.550128,,7663230030.295666,7199617202.146502,3619521167.545936,4769890894.648121,3596072280.004336,2173739434.478443,2802600178.062361,,,24228337475.64492,8015359022.017231,3479242959.640779,3093597546.397045,1336715843.016004,2168254406.424781,23966388915.47581
1980-11-01,6188788893.528314,4010614725.747663,4056469091.085295,5159742716.660805,,1357439700.111925,,7503888526.863004,6846657970.781094,4098483353.178705,4704308047.435943,3727027624.546908,2190499996.382702,2918435768.478456,,,24819998895.72952,7821814295.935805,3327323616.739938,2955063044.247201,1312835993.183408,2028693857.631682,25673025848.09132
1980-12-01,6912629542.034196,4086620480.684795,3116179859.045457,5355827437.000776,,1517066585.296761,,7228343927.745753,6500118429.329385,4045354087.787612,4490922473.962725,3812358155.569357,2260857973.943384,3140140295.385736,430600000.0,364629832.1535556,23640496259.49008,7238233171.655301,2955662814.086375,3026175394.750625,1232000000.0,2093551078.253524,26755967203.35431
1981-01-01,6625765164.288358,4160344945.711658,3491528771.9173,5365419907.033805,,1565230232.102949,,7274179327.400769,7167182294.484826,4130161386.454273,4572801910.847292,3950306391.675544,2190700938.067267,2862312597.227139,,,25270981709.6162,6609639586.664931,2723846500.808394,2913102643.86949,1460381026.470148,2479028793.289603,28315805606.83649
1981-02-01,6588918015.063814,4046746115.584237,3521336563.325059,5337747049.156234,,1662485166.080841,,7265710285.124486,6814811016.043103,3828182339.19233,4305518499.935869,3963834961.715453,2037050370.424108,2820752688.185197,,,27199248126.17868,6599239655.019621,2800421440.57387,2931327486.032916,1367812225.58603,2409206621.387576,29681791792.65634
1981-03-01,6476981777.118367,4108180402.860944,2926147606.254558,5321602931.582209,,1621605477.180499,,7133086626.714181,7259442060.05435,4022205651.897816,4304201715.567236,4075616344.863295,1946898923.348258,2847688092.004433,,373918910.2926613,29379804778.11536,7045763199.769711,2888658742.763005,2940358812.770868,1257025184.646034,2408036013.830388,30409446697.57666
1981-04-01,6271055538.33092,4063256390.966483,3110946303.59448,5321404161.820888,,1704546099.024802,,6757988233.346274,7717286260.029347,4176134769.256151,4111811128.020073,4185793607.31102,1512753882.412594,2847347588.455686,,,27375199066.60522,6159406459.485752,2972745239.255735,2738349218.528082,1257559977.035861,2452061860.791426,29692779278.08006
1981-05-01,6369306257.64016,4148899981.397395,3740309996.620964,5278448741.840471,,1646798212.897683,,6508523470.719774,7403586546.135791,4004110055.371366,4225621452.338172,4323446932.908718,1389747184.036252,2755339344.013316,,,28209548861.1383,6100401355.664168,2763173057.311077,2700292537.942513,1058080377.735616,2487002587.086102,29395222594.86093
1981-06-01,6175532428.236627,3988597644.829421,4337104336.634148,5264968416.30515,,1535731569.467087,,6112902999.755572,7050134357.395874,4198300067.214406,4045245750.638975,3460378836.194935,1489752039.386298,2585230120.46833,,383161677.0832635,28697547948.99148,5634057786.195434,2469183792.664431,2888383311.694013,1016661987.558148,2400214581.913134,29582152498.16154
